"timestep","value"
"2016-9-23",6.7
"2016-9-24",6.48
"2016-9-25",6.4
"2016-9-26",7.09
"2016-9-27",6.32
"2016-9-28",6.45
"2016-9-29",6.47
"2016-9-30",6.31
"2016-10-1",6.45
"2016-10-2",7.65
"2016-10-3",6.71
"2016-10-4",6.43
"2016-10-5",6.46
"2016-10-6",6.29
"2016-10-7",6.25
"2016-10-8",6.41
"2016-10-9",6.82
"2016-10-10",6.22
"2016-10-11",6.15
"2016-10-12",5.92
"2016-10-13",6.34
"2016-10-14",6.64
"2016-10-15",6.14
"2016-10-16",6.34
"2016-10-17",6.19
"2016-10-18",6.21
"2016-10-19",6.1
"2016-10-20",6.26
"2016-10-21",5.93
"2016-10-22",6.32
"2016-10-23",4.83
"2016-10-24",6.02
"2016-10-25",5.98
"2016-10-26",5.96
"2016-10-27",5.98
"2016-10-28",5.61
"2016-10-29",6.25
"2016-10-30",6.93
"2016-10-31",6.67
"2016-11-1",6.73
"2016-11-2",6.1
"2016-11-3",6.24
"2016-11-4",6.44
"2016-11-5",6.37
"2016-11-6",6.47
"2016-11-7",6.49
"2016-11-8",6.44
"2016-11-9",6.41
"2016-11-10",6.69
"2016-11-11",6.14
"2016-11-12",6.53
"2016-11-13",6.98
"2016-11-14",5.91
"2016-11-15",6.04
"2016-11-16",6.21
"2016-11-17",6.09
"2016-11-18",6.15
"2016-11-19",6.7
"2016-11-20",5.96
"2016-11-21",7.15
"2016-11-22",4.97
"2016-11-23",6.2
"2016-11-24",6.25
"2016-11-25",6.25
"2016-11-26",6.53
"2016-11-27",6.65
"2016-11-28",7.2
"2016-11-29",6.07
"2016-11-30",5.94
"2016-12-1",6.47
"2016-12-2",6.21
"2016-12-3",6.45
"2016-12-4",6.72
"2016-12-5",6.21
"2016-12-6",5.12
"2016-12-7",6.25
"2016-12-8",6.75
"2016-12-9",6.49
"2016-12-10",6.83
"2016-12-11",6.87
"2016-12-12",6.22
"2016-12-13",5.66
"2016-12-14",6.32
"2016-12-15",6.47
"2016-12-16",6.22
"2016-12-17",6.6
"2016-12-18",7.1
"2016-12-19",6.45
"2016-12-20",6.17
"2016-12-21",6.15
"2016-12-22",6.17
"2016-12-23",6.61
"2016-12-24",6.95
"2016-12-25",7.13
"2016-12-26",6.93
"2016-12-27",6.19
"2016-12-28",6.56
"2016-12-29",6.27
"2016-12-30",6.67
"2016-12-31",6.74
"2017-1-1",6.85
"2017-1-2",6.46
"2017-1-3",6.13
"2017-1-4",5.89
"2017-1-5",5.56
"2017-1-6",6.15
"2017-1-7",6.61
"2017-1-8",6.3
"2017-1-9",6.25
"2017-1-10",6.1
"2017-1-11",6.31
"2017-1-12",6.22
"2017-1-13",6.29
"2017-1-14",7.54
"2017-1-15",7.12
"2017-1-16",6.82
"2017-1-17",6.45
"2017-1-18",6.51
"2017-1-19",6.49
"2017-1-20",6.63
"2017-1-21",6.95
"2017-1-22",7.16
"2017-1-23",6.59
"2017-1-24",6.36
"2017-1-25",6.51
"2017-1-26",6.27
"2017-1-27",6.36
"2017-1-28",6.63
"2017-1-29",6.29
"2017-1-30",6.17
"2017-1-31",5.92
"2017-2-1",5.46
"2017-2-2",6.2
"2017-2-3",5.75
"2017-2-4",5.9
"2017-2-5",6.22
"2017-2-6",6.27
"2017-2-7",6.16
"2017-2-8",6.07
"2017-2-9",5.84
"2017-2-10",6.57
"2017-2-11",6.05
"2017-2-12",6.22
"2017-2-13",5.67
"2017-2-14",5.1
"2017-2-15",5.17
"2017-2-16",5.4
"2017-2-17",5.27
"2017-2-18",5.55
"2017-2-19",5.85
"2017-2-20",6
"2017-2-21",6.18
"2017-2-22",5.95
"2017-2-23",5.63
"2017-2-24",6.43
"2017-2-25",5.89
"2017-2-26",5.59
"2017-2-27",5.27
"2017-2-28",5.11
"2017-3-1",4.98
"2017-3-2",4.76
"2017-3-3",5.48
"2017-3-4",5.35
"2017-3-5",5.7
"2017-3-6",5.45
"2017-3-7",4.81
"2017-3-8",5.5
"2017-3-9",5.48
"2017-3-10",5.12
"2017-3-11",5.19
"2017-3-12",5.65
"2017-3-13",5.25
"2017-3-14",5.17
"2017-3-15",5.05
"2017-3-16",4.55
"2017-3-17",4.34
"2017-3-18",5.75
"2017-3-19",5.15
"2017-3-20",5.59
"2017-3-21",4.65
"2017-3-22",6
"2017-3-23",5.45
"2017-3-24",5.74
"2017-3-25",6.1
"2017-3-26",5.97
"2017-3-27",5.04
"2017-3-28",4.75
"2017-3-29",4.9
"2017-3-30",4.98
"2017-3-31",4.75
"2017-4-1",5.38
"2017-4-2",5.78
"2017-4-3",5.38
"2017-4-4",5.28
"2017-4-5",5.35
"2017-4-6",4.7
"2017-4-7",4.71
"2017-4-8",5.24
"2017-4-9",5.45
